2025-12-12 00:00:01 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:16:34 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:18:04 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:19:34 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:21:05 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:22:35 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:24:05 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:25:35 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:27:05 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:28:36 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:30:06 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:31:36 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:33:06 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:34:37 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:36:07 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:37:38 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:39:08 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:40:38 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:42:08 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:43:38 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:45:08 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:46:38 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:48:09 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:49:39 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:51:09 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:52:39 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:54:09 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:55:39 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:57:10 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 00:58:40 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:00:10 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:01:41 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:03:11 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:04:41 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:06:11 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:07:41 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:09:12 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:10:42 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:12:12 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:13:42 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:15:13 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2025-12-12 01:16:43 | ERROR | semantic.pipeline | Loop Error: 39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 693acc50d33c101f2bea9c5f, topology_type: Unknown, servers: [<ServerDescription ('39.104.200.88', 41004) server_type: Unknown, rtt: None, error=AutoReconnect('39.104.200.88:41004: connection closed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
